competition,sport,competition_group,region,tier,home_team,away_team,kickoff_uk,venue,home_score,away_score,official_source
England Women - Women's International,Football,England Women,England,,England,United States,2024-11-30 17:20,Wembley Stadium,0,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - Women's International,Football,England Women,England,,England,Switzerland,2024-12-03 19:45,Bramall Lane,1,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Nations League 2025-26,Football,England Women,England,,Portugal,England,2025-02-21 19:45,Estádio Municipal de Portimão,1,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Nations League 2025-26,Football,England Women,England,,England,Spain,2025-02-26 20:00,Wembley Stadium,1,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Nations League 2025-26,Football,England Women,England,,England,Belgium,2025-04-04 20:00,Ashton Gate Stadium,5,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Nations League 2025-26,Football,England Women,England,,Belgium,England,2025-04-08 19:30,King Power at Den Dreef Stadion,3,2,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Nations League 2025-26,Football,England Women,England,,England,Portugal,2025-05-30 19:45,Wembley Stadium,6,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Nations League 2025-26,Football,England Women,England,,Spain,England,2025-06-03 18:00,RCDE Stadium,2,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - Women's International,Football,England Women,England,,England,Jamaica,2025-06-29 17:00,King Power Stadium,7,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Women's EURO 2025,Football,England Women,England,,France,England,2025-07-05 20:00,Stadion Letzigrund,2,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Women's EURO 2025,Football,England Women,England,,England,Netherlands,2025-07-09 17:00,Stadion Letzigrund,4,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Women's EURO 2025,Football,England Women,England,,England,Wales,2025-07-13 20:00,Berit Sitterstadion,6,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Women's EURO 2025,Football,England Women,England,,Sweden,England,2025-07-17 20:00,Stadion Letzigrund,2,2,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Women's EURO 2025,Football,England Women,England,,England,Italy,2025-07-22 20:00,Stade de Genève,2,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - UEFA Women's EURO 2025,Football,England Women,England,,England,Spain,2025-07-27 17:00,St. Jakob-Park,1,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - Women's International,Football,England Women,England,,England,Brazil,2025-10-25 17:30,Etihad Stadium,1,2,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - Women's International,Football,England Women,England,,England,Australia,2025-10-28 19:00,Pride Park Stadium,3,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women U20 - Friendly,Football,England Women U20,England,,China,England,2025-11-26 16:00,-,1,2,https://www.englandfootball.com/england/youth/Womens-U20
England Women U20 - Friendly,Football,England Women U20,England,,England,United States,2025-11-29 12:00,-,1,4,https://www.englandfootball.com/england/youth/Womens-U20
England Women - Women's International,Football,England Women,England,,England,China,2025-11-29 17:30,Wembley Stadium,8,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women U20 - Friendly,Football,England Women U20,England,,England,Mexico,2025-12-02 11:00,-,3,2,https://www.englandfootball.com/england/youth/Womens-U20
England Women - Women's International,Football,England Women,England,,England,Ghana,2025-12-02 19:00,St. Mary's Stadium,2,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women U20 - Friendly,Football,England Women U20,England,,Spain,England,2026-02-28 11:00,-,3,1,https://www.englandfootball.com/england/youth/Womens-U20
England Women - FIFA 2027 World Cup European Qualifiers,Football,England Women,England,,Ukraine,England,2026-03-03 17:00,Mardan Stadyumu,1,6,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women U20 - Friendly,Football,England Women U20,England,,England,Mexico,2026-03-06 11:00,-,4,1,https://www.englandfootball.com/england/youth/Womens-U20
England Women - FIFA 2027 World Cup European Qualifiers,Football,England Women,England,,England,Iceland,2026-03-07 12:30,The City Ground,2,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
Barclays WSL,Football,WSL,England,Tier 1,Chelsea,Aston Villa,2026-03-29 12:00,-,1,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
England Women - FIFA 2027 World Cup European Qualifiers,Football,England Women,England,,England,Spain,2026-04-14 19:00,Wembley Stadium,1,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women - FIFA 2027 World Cup European Qualifiers,Football,England Women,England,,Iceland,England,2026-04-18 17:30,Laugardalsvöllur,0,1,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
Barclays WSL,Football,WSL,England,Tier 1,Brighton & Hove Albion,Arsenal,2026-05-06 19:45,-,0,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
England Women U20 - Friendly,Football,England Women U20,England,,England,Canada,2026-06-03 17:00,-,1,0,https://www.englandfootball.com/england/youth/Womens-U20
England Women - FIFA 2027 World Cup European Qualifiers,Football,England Women,England,,Spain,England,2026-06-05 20:00,Estadi Mallorca Son Moix,4,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women U20 - Friendly,Football,England Women U20,England,,England,Japan,2026-06-09 11:00,-,0,1,https://www.englandfootball.com/england/youth/Womens-U20
England Women - FIFA 2027 World Cup European Qualifiers,Football,England Women,England,,England,Ukraine,2026-06-09 20:00,Hill Dickinson Stadium,3,0,https://www.englandfootball.com/england/womens-senior-team/fixtures-results
England Women U20 - Friendly,Football,England Women U20,England,,United States,England,2026-07-09 23:00,-,1,1,https://www.englandfootball.com/england/youth/Womens-U20
NWSL,Football,NWSL,USA,,Boston Legacy,Chicago Stars,2026-07-11 01:00,-,2,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Orlando Pride,Kansas City Current,2026-07-11 01:00,-,3,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Racing Louisville,Bay FC,2026-07-11 01:00,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Utah Royals,Gotham FC,2026-07-11 03:00,-,1,3,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,North Carolina Courage,Washington Spirit,2026-07-11 23:30,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,San Diego Wave,Angel City,2026-07-12 01:45,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Seattle Reign,Portland Thorns,2026-07-12 21:00,-,2,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Denver Summit,Houston Dash,2026-07-13 00:00,-,2,2,https://en.wikipedia.org/wiki/2026_NWSL_season
England Women U20 - Friendly,Football,England Women U20,England,,England,Colombia,2026-07-15 17:00,-,0,0,https://www.englandfootball.com/england/youth/Womens-U20
NWSL,Football,NWSL,USA,,Orlando Pride,Boston Legacy,2026-07-16 00:00,-,0,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Gotham FC,Washington Spirit,2026-07-16 01:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Kansas City Current,San Diego Wave,2026-07-18 01:00,-,2,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Gotham FC,Seattle Reign,2026-07-18 17:00,-,3,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Denver Summit,Portland Thorns,2026-07-18 19:00,-,2,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Bay FC,North Carolina Courage,2026-07-18 21:00,-,3,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Chicago Stars,Angel City,2026-07-18 23:30,-,0,2,https://en.wikipedia.org/wiki/2026_NWSL_season
